证券名称,证券代码,交易日期,收盘价,涨跌幅(%),最高价,最低价,成交量(万份),成交额(万元),数据完整性
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
300ETF,510300,20260105,4.844,1.91458,4.85,4.78,101713.25,490206.18,是
300ETF,510300,20260106,4.919,1.54831,4.92,4.85,105230.15,514160.36,是
300ETF,510300,20260107,4.901,-0.36593,4.93,4.88,93340.26,457848.11,是
300ETF,510300,20260108,4.863,-0.77535,4.89,4.84,68271.98,332467.44,是
300ETF,510300,20260109,4.885,0.4524,4.9,4.84,113485.53,553558.19,是
,,,,,,,,,否
,,,,,,,,,否
300ETF,510300,20260112,4.913,0.57318,4.93,4.86,133307.53,652967.5,是
300ETF,510300,20260113,4.896,-0.34602,4.97,4.88,127178.32,624948.83,是
300ETF,510300,20260114,4.866,-0.61275,4.95,4.84,213672.23,1046533.26,是
300ETF,510300,20260115,4.875,0.18496,4.89,4.84,521714.89,2539067.27,是
300ETF,510300,20260116,4.859,-0.32821,4.92,4.84,532016.65,2592258.24,是
,,,,,,,,,否
,,,,,,,,,否
XD300ETF,510300,20260119,4.738,0.04223,4.77,4.72,291343.99,1379257.64,是
300ETF,510300,20260120,4.724,-0.29548,4.75,4.69,288676.56,1361376.94,是
