证券名称,证券代码,交易日期,收盘价,涨跌幅(%),最高价,最低价,成交量(万份),成交额(万元),数据完整性
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
华夏300,510330,20260105,4.914,1.88679,4.92,4.84,8562.3,41881.07,是
华夏300,510330,20260106,4.99,1.5466,4.99,4.91,10217.73,50582.38,是
华夏300,510330,20260107,4.97,-0.4008,5.0,4.95,12634.68,62913.92,是
华夏300,510330,20260108,4.931,-0.78471,4.96,4.91,11783.06,58170.95,是
华夏300,510330,20260109,4.955,0.48672,4.97,4.92,12413.84,61427.87,是
,,,,,,,,,否
,,,,,,,,,否
华夏300,510330,20260112,4.996,0.82745,5.0,4.93,14602.62,72625.79,是
华夏300,510330,20260113,4.963,-0.66053,5.04,4.94,8633.86,43036.62,是
华夏300,510330,20260114,4.936,-0.54403,5.02,4.91,22083.92,109481.52,是
华夏300,510330,20260115,4.942,0.12156,4.96,4.92,87830.47,433495.57,是
华夏300,510330,20260116,4.937,-0.10117,4.99,4.91,460279.36,2270498.53,是
,,,,,,,,,否
,,,,,,,,,否
华夏300,510330,20260119,4.93,-0.14179,4.96,4.9,169936.39,836758.0,是
华夏300,510330,20260120,4.918,-0.24341,4.94,4.88,141080.43,692759.06,是
华夏300,510330,20260121,4.919,0.02033,4.96,4.9,312896.52,1540679.23,是
华夏300,510330,20260122,4.918,-0.02033,4.95,4.89,197509.2,969708.22,是
华夏300,510330,20260123,4.894,-0.488,4.94,4.88,424440.88,2076809.98,是
,,,,,,,,,否
,,,,,,,,,否
华夏300,510330,20260126,4.907,0.26563,4.96,4.88,323397.61,1586636.02,是
华夏300,510330,20260127,4.901,-0.12227,4.93,4.87,168759.48,827771.76,是
华夏300,510330,20260128,4.914,0.26525,4.94,4.89,546368.94,2681930.72,是
华夏300,510330,20260129,4.962,0.9768,4.97,4.9,163745.05,808591.38,是
华夏300,510330,20260130,4.899,-1.26965,4.94,4.83,27141.78,132657.47,是
,,,,,,,,,否
,,,,,,,,,否
华夏300,510330,20260202,4.799,-2.04123,4.91,4.78,46989.86,227360.57,是
